Date,Time,Price,Bid,Ask,Size
02/03/2020,11:12:30,127.62,127.61,127.62,100
02/03/2020,11:12:34,127.63,127.62,127.63,100
02/03/2020,11:12:37,127.63,127.63,127.64,225
02/03/2020,11:13:22,127.62,127.62,127.63,100
02/03/2020,11:13:23,127.6175,127.61,127.62,1013
02/03/2020,11:13:40,127.56,127.55,127.57,100
02/03/2020,11:13:46,127.56,127.56,127.57,100
02/03/2020,11:13:46,127.56,127.56,127.57,100
02/03/2020,11:14:09,127.5223,127.52,127.53,129
02/03/2020,11:14:26,127.52,127.51,127.52,100
02/03/2020,11:14:29,127.5107,127.51,127.52,200
02/03/2020,11:14:30,127.515,127.52,127.53,100
02/03/2020,11:14:30,127.52,127.52,127.53,100
02/03/2020,11:14:30,127.515,127.52,127.53,100
02/03/2020,11:14:30,127.52,127.52,127.53,100
02/03/2020,11:14:30,127.52,127.52,127.53,225
02/03/2020,11:14:36,127.51,127.5,127.51,100
02/03/2020,11:14:41,127.52,127.51,127.53,100
02/03/2020,11:14:41,127.52,127.51,127.53,100
02/03/2020,11:14:43,127.52,127.51,127.52,100
02/03/2020,11:14:52,127.53,127.53,127.54,100
02/03/2020,11:14:52,127.53,127.53,127.54,100
02/03/2020,11:14:53,127.54,127.53,127.55,100
02/03/2020,11:15:07,127.53,127.52,127.53,100
02/03/2020,11:15:26,127.55,127.55,127.56,100
02/03/2020,11:15:26,127.55,127.55,127.56,225
02/03/2020,11:16:17,127.49,127.48,127.49,637
02/03/2020,11:16:19,127.4849,127.48,127.49,600
02/03/2020,11:16:19,127.4849,127.48,127.49,464
02/03/2020,11:16:23,127.481,127.48,127.49,300
02/03/2020,11:16:23,127.4849,127.48,127.49,700
02/03/2020,11:16:24,127.49,127.49,127.5,225
02/03/2020,11:16:24,127.49,127.49,127.5,100
02/03/2020,11:16:25,127.4987,127.49,127.5,252
02/03/2020,11:16:29,127.5,127.49,127.5,100
02/03/2020,11:16:29,127.5,127.49,127.5,100
02/03/2020,11:16:30,127.4949,127.49,127.5,400
02/03/2020,11:16:35,127.49,127.49,127.5,100
02/03/2020,11:16:43,127.491,127.48,127.49,100
02/03/2020,11:16:43,127.49,127.48,127.49,100
02/03/2020,11:16:43,127.49,127.48,127.49,375
02/03/2020,11:16:52,127.49,127.49,127.5,135
02/03/2020,11:17:00,127.48,127.47,127.48,100
02/03/2020,11:17:02,127.4799,127.47,127.48,444
02/03/2020,11:17:07,127.47,127.46,127.47,100
02/03/2020,11:17:07,127.47,127.46,127.47,100
02/03/2020,11:17:21,127.49,127.49,127.5,225
02/03/2020,11:17:22,127.5,127.5,127.51,100
02/03/2020,11:17:30,127.47,127.47,127.48,100
02/03/2020,11:17:44,127.46,127.46,127.47,100
02/03/2020,11:18:30,127.4099,127.4,127.41,258
02/03/2020,11:19:00,127.38,127.38,127.39,100
02/03/2020,11:19:10,127.395,127.4,127.41,100
02/03/2020,11:19:10,127.4,127.4,127.41,195
02/03/2020,11:19:12,127.4,127.4,127.41,100
02/03/2020,11:19:16,127.405,127.41,127.42,100
02/03/2020,11:19:16,127.41,127.41,127.42,100
02/03/2020,11:19:16,127.42,127.41,127.42,400
02/03/2020,11:19:19,127.4221,127.42,127.43,267
02/03/2020,11:19:22,127.43,127.41,127.43,400
02/03/2020,11:19:24,127.41,127.41,127.42,100
02/03/2020,11:19:24,127.42,127.41,127.42,400
02/03/2020,11:19:24,127.42,127.41,127.42,100
02/03/2020,11:19:25,127.4,127.4,127.41,100
02/03/2020,11:19:30,127.4,127.39,127.4,100
02/03/2020,11:19:30,127.4,127.39,127.4,100
02/03/2020,11:19:32,127.41,127.41,127.42,100
02/03/2020,11:19:32,127.42,127.41,127.42,200
02/03/2020,11:19:32,127.42,127.41,127.42,100
02/03/2020,11:19:32,127.42,127.41,127.42,100
02/03/2020,11:19:32,127.42,127.41,127.42,100
